ts,cpu_percent,rss_mb,power_w,energy_j_total
1759845068.4309833,37.00,784.37,7.189,587.765219
1759845069.430993,15.00,784.37,4.229,591.994029
1759845070.4307783,62.00,784.49,9.760,601.751816
1759845071.4309678,17.00,784.62,12.205,613.958938
1759845072.4308355,33.00,784.62,9.062,623.019340
1759845073.4310317,17.00,784.62,4.385,627.404766
1759845074.4307487,35.00,784.62,6.831,634.233728
1759845075.4310277,17.00,784.62,5.087,639.322521
1759845076.4308455,56.00,784.87,9.668,648.989000
1759845077.4308991,36.00,784.87,6.198,655.186860
1759845078.430776,48.00,784.87,8.846,664.031503
1759845079.4310281,22.00,784.87,5.252,669.284419
1759845080.430753,55.00,784.99,9.221,678.502840
1759845081.4310079,10.00,785.12,3.730,682.233727
1759845082.4307482,30.00,785.12,6.296,688.528327
1759845083.4309168,19.00,785.12,4.912,693.440851
1759845084.430781,51.00,785.12,8.793,702.233065
1759845085.4307735,27.00,785.12,6.350,708.583452
1759845086.4307525,47.00,785.12,8.585,717.168147
1759845087.4310322,10.00,785.12,3.360,720.529466
1759845088.4307492,32.00,785.12,7.052,727.579070
1759845089.4309778,28.00,785.12,5.850,733.430007
1759845090.4307535,47.00,785.12,8.744,742.172416
1759845091.4309702,66.00,785.12,10.052,752.226468
1759845092.4307783,23.00,785.12,5.590,757.815687
1759845093.4310343,16.00,785.12,4.647,762.463624
1759845094.4307485,14.00,785.12,4.052,766.514639
1759845095.4310336,45.00,785.12,7.974,774.491364
1759845096.4307535,21.00,785.12,5.157,779.646869
1759845097.4310253,24.00,785.12,5.604,785.252262
1759845098.4307864,24.00,785.12,5.666,790.917042
1759845099.4310489,17.00,785.12,4.347,795.265054
1759845100.430771,32.00,785.12,7.377,802.639974
1759845101.4310284,17.00,785.12,5.530,808.171881
1759845102.4307837,18.00,785.24,4.948,813.118340
1759845103.4310327,34.00,785.24,7.586,820.706090
1759845104.4307485,13.00,785.24,3.633,824.337794
1759845105.4310465,35.00,785.24,7.529,831.868720
1759845106.430753,21.00,785.24,5.062,836.928948
1759845107.4310265,24.00,785.24,5.966,842.896951
1759845108.4308007,10.00,785.24,3.298,846.194245
1759845109.430911,26.00,785.24,6.077,852.272049
1759845110.430781,42.00,785.24,7.531,859.801998
1759845111.4309113,23.00,785.24,5.866,865.668682
1759845112.4307537,8.00,785.37,5.942,871.609829
1759845113.430752,49.00,785.37,8.320,879.929754
1759845114.4310308,14.00,785.49,4.154,884.084528
1759845115.431035,54.00,785.49,9.445,893.529451
1759845116.4310193,33.00,785.49,6.046,899.575395
1759845117.4310102,39.00,785.62,13.248,912.822980
1759845118.431031,32.00,785.62,6.333,919.155972
1759845119.4310243,42.00,785.74,8.079,927.235358
1759845120.4309616,5.00,785.74,3.265,930.500425
1759845121.4310308,26.00,785.74,6.267,936.767560
1759845122.4310315,16.00,785.74,4.478,941.245515
1759845123.431031,54.00,785.74,9.058,950.303353
1759845124.4310322,22.00,785.74,4.928,955.231380
1759845125.4310305,41.00,785.74,8.192,963.423009
1759845126.431012,11.00,785.74,4.527,967.950036
1759845127.4309628,42.00,785.74,7.612,975.562077
1759845128.4309628,15.00,785.74,4.429,979.990899
1759845129.4309952,35.00,785.74,7.068,987.059118
1759845130.430807,17.00,785.74,5.321,992.379234
1759845131.4308994,41.00,785.74,8.175,1000.555055
1759845132.4309123,41.00,791.10,8.396,1008.951457
1759845133.4307523,35.00,791.10,7.207,1016.157127
1759845134.4311113,17.00,791.23,4.297,1020.455700
1759845135.431009,29.00,791.84,7.378,1027.832696
1759845136.430963,25.00,788.92,5.486,1033.318766
1759845137.4310012,43.00,788.92,8.188,1041.507038
