ts,cpu_percent,rss_mb,power_w,energy_j_total
1759844202.4502096,522.00,386.22,57.431,13441.610303
1759844203.4502048,575.00,356.68,57.396,13499.006519
1759844204.4502091,267.00,363.93,47.259,13546.265614
1759844205.4502358,367.00,364.80,63.898,13610.165536
1759844206.4502041,511.00,367.68,68.287,13678.450639
1759844207.4502046,497.00,344.43,54.846,13733.296568
1759844208.4502046,353.00,352.56,56.814,13790.110571
1759844209.4502258,495.00,354.81,58.408,13848.520211
1759844210.4502356,405.00,365.06,58.951,13907.471660
1759844211.4502096,559.00,370.68,63.138,13970.607912
1759844212.4502358,591.00,381.31,57.182,14027.791664
1759844213.450233,477.00,388.81,54.163,14081.954978
1759844214.4502318,329.00,401.06,53.032,14134.987068
1759844215.4502337,376.00,401.06,63.050,14198.036895
1759844216.4502017,323.00,363.22,56.720,14254.754706
1759844217.4502046,550.00,364.22,65.904,14320.659323
1759844218.4502091,478.00,365.72,56.809,14377.468625
1759844219.4502096,565.00,373.85,59.341,14436.810026
1759844220.4502058,489.00,374.72,56.814,14493.624151
1759844221.45021,575.00,377.97,60.638,14554.262484
1759844222.4502046,399.00,369.26,48.431,14602.692719
1759844223.450235,492.00,382.51,66.175,14668.869979
1759844224.4502363,419.00,381.51,55.529,14724.399134
1759844225.4502358,488.00,384.51,63.258,14787.657334
1759844226.4502032,458.00,384.25,54.414,14842.069182
1759844227.450235,177.00,384.25,37.430,14879.500665
1759844228.4502046,325.00,385.38,59.929,14939.427697
1759844229.4502044,491.00,386.12,78.482,15017.909918
1759844230.4502068,289.00,331.48,54.129,15072.039235
1759844231.450236,390.00,331.48,47.402,15119.442861
1759844232.4502048,228.00,331.48,45.784,15165.225276
1759844233.450233,264.00,331.48,51.730,15216.956650
1759844234.4502227,458.00,332.23,75.753,15292.709263
1759844235.4502068,615.00,383.11,67.017,15359.724961
1759844236.4502075,491.00,394.11,50.949,15410.673561
1759844237.4502072,419.00,378.09,57.568,15468.241895
1759844238.4502115,351.00,378.34,55.113,15523.355157
1759844239.4502053,518.00,378.34,65.350,15588.705088
1759844240.450205,428.00,378.34,52.954,15641.658748
1759844241.4502058,590.00,378.46,65.913,15707.571971
1759844242.4502356,514.00,351.75,52.308,15759.881773
1759844243.4502113,596.00,351.75,63.467,15823.347126
1759844244.4502363,579.00,368.38,53.579,15876.927128
1759844245.450205,312.00,377.38,50.891,15927.816829
1759844246.4502084,437.00,382.38,63.724,15991.541520
1759844247.4502099,516.00,387.75,60.037,16051.578597
1759844248.4502351,450.00,388.38,54.794,16106.373867
1759844249.4502091,218.00,389.88,43.311,16149.683388
1759844250.45021,556.00,392.75,63.770,16213.453000
1759844251.4509125,1050.30,394.89,83.201,16296.712247
1759844252.4502106,1368.00,398.14,57.932,16354.604006
1759844253.450925,1444.00,403.14,57.669,16412.313880
1759844254.4502082,1575.10,417.01,56.640,16468.913711
1759844255.4502094,1575.00,433.64,57.241,16526.155019
1759844256.4502065,1578.00,439.51,57.986,16584.141260
1759844257.4502068,1576.00,467.39,57.323,16641.464477
1759844258.4502084,1559.00,468.51,57.326,16698.790320
1759844259.45021,1463.00,475.01,57.799,16756.589671
1759844260.4502423,1417.00,491.51,57.943,16814.534530
1759844261.450913,1499.00,493.76,58.061,16872.634601
1759844262.450912,1484.00,497.76,57.948,16930.582878
1759844263.4502072,1572.10,498.89,58.088,16988.629665
1759844264.4502072,1568.00,499.01,57.592,17046.221620
1759844265.450207,1580.00,502.51,57.992,17104.213476
1759844266.450207,1574.00,515.51,58.373,17162.586740
1759844267.4502087,1573.00,517.51,58.212,17220.799115
1759844268.4539125,1575.20,541.26,58.190,17279.205032
1759844269.450207,1578.80,541.26,58.504,17337.492176
1759844270.4502065,1544.00,541.64,57.966,17395.458092
1759844271.4502063,1573.00,555.39,58.093,17453.550594
1759844272.4502075,1578.00,558.14,58.177,17511.727447
1759844273.4519124,1576.30,558.39,58.468,17570.295291
1759844274.4502084,1559.70,559.51,58.591,17628.786840
1759844275.450208,1576.00,568.39,58.443,17687.229623
1759844276.4509132,1573.90,572.01,58.329,17745.599468
1759844277.4539135,1576.30,572.26,58.305,17804.079482
1759844278.450207,1574.80,584.14,58.255,17862.118945
1759844279.4519129,1546.40,594.01,58.349,17920.567892
1759844280.4502063,1578.70,597.51,58.328,17978.795954
1759844281.450208,1578.00,600.39,58.299,18037.095304
1759844282.4502072,1574.00,608.51,58.401,18095.496217
1759844283.4502063,1574.00,617.14,58.373,18153.869358
1759844284.450207,1571.00,617.39,58.282,18212.151741
1759844285.4502075,1579.00,621.76,58.795,18270.946451
1759844286.452912,1575.70,623.89,58.520,18329.624462
1759844287.450207,1539.20,633.51,58.384,18387.850754
1759844288.450208,1483.00,634.64,58.137,18445.988300
1759844289.4509132,1541.90,643.76,58.187,18504.216362
1759844290.4502094,1575.10,644.64,58.762,18562.937159
1759844291.4509141,1574.90,644.76,58.416,18621.394406
1759844292.4529128,1576.80,647.14,58.630,18680.141876
1759844293.4502072,1580.30,648.51,58.112,18738.096378
1759844294.450206,1578.00,660.64,58.374,18796.469886
1759844295.450913,1545.90,660.64,58.788,18855.299569
1759844296.4502087,1575.10,660.89,58.488,18913.746319
1759844297.4502077,1579.00,669.51,57.923,18971.669267
1759844298.4502072,1573.00,670.26,58.325,19029.994374
1759844299.4502082,1579.00,674.01,58.454,19088.447959
