ts,cpu_percent,rss_mb,power_w,energy_j_total
1759846951.9649317,33.00,683.79,7.854,1422.043479
1759846952.9649413,28.00,683.79,6.265,1428.308416
1759846953.9649346,52.00,683.79,10.127,1438.435038
1759846954.9649243,42.00,683.79,8.274,1446.709370
1759846955.9647985,56.00,683.79,10.342,1457.050469
1759846956.9649305,66.00,683.79,9.598,1466.649627
1759846957.9648829,79.00,683.79,13.176,1479.824947
1759846958.9649413,50.00,683.79,8.202,1488.027868
1759846959.964876,38.00,683.79,9.104,1497.131116
1759846960.964917,18.00,683.79,7.557,1504.688714
1759846961.9649189,47.00,683.79,9.673,1514.361846
1759846962.9648952,31.00,683.91,7.037,1521.398388
1759846963.9649107,44.00,683.91,9.090,1530.488391
1759846964.964895,28.00,683.91,6.752,1537.240205
1759846965.9648826,9.00,683.91,3.597,1540.836693
1759846966.964863,43.00,683.91,7.635,1548.471683
1759846967.9647014,76.00,683.91,12.585,1561.054658
1759846968.9649155,18.00,683.91,5.100,1566.155719
1759846969.964878,41.00,683.91,9.142,1575.297603
1759846970.9649396,22.00,683.91,5.318,1580.615765
1759846971.9648962,45.00,683.91,8.992,1589.607198
1759846972.96492,40.00,683.91,7.353,1596.960145
1759846973.9649243,34.00,683.91,7.284,1604.244367
1759846974.9648807,10.00,683.91,4.827,1609.070832
1759846975.9649115,17.00,683.91,5.150,1614.220782
1759846976.9649317,19.00,683.91,4.939,1619.159490
1759846977.9649253,43.00,683.91,8.926,1628.085432
1759846978.96493,21.00,683.91,5.275,1633.360565
1759846979.964937,64.00,683.91,12.056,1645.416686
1759846980.9649258,29.00,683.91,6.365,1651.781660
1759846981.9649248,46.00,684.04,9.494,1661.275227
1759846982.964921,26.00,684.04,5.580,1666.854986
1759846983.9647925,89.00,684.16,13.746,1680.598908
1759846984.9648998,38.00,684.16,7.988,1688.587901
1759846985.9646828,69.00,684.16,14.287,1702.872044
1759846986.9648805,30.00,684.16,6.631,1709.504352
1759846987.964804,48.00,684.16,9.672,1719.175958
1759846988.9649155,5.00,684.16,2.511,1721.687304
1759846989.9648309,81.00,684.16,13.759,1735.444715
1759846990.9649386,11.00,684.16,4.379,1739.823793
1759846991.9649265,68.00,684.16,11.662,1751.485689
1759846992.9649334,46.00,684.16,9.307,1760.792672
1759846993.964931,46.00,684.16,9.417,1770.210129
1759846994.964926,54.00,684.16,9.382,1779.592307
1759846995.9649312,33.00,684.16,7.669,1787.261660
1759846996.9649158,11.00,684.16,4.129,1791.390555
1759846997.9649343,33.00,684.16,7.779,1799.169955
1759846998.9649327,20.00,684.16,5.163,1804.333088
1759846999.9649253,15.00,684.16,5.071,1809.404547
1759847000.964931,29.00,684.16,6.458,1815.862356
1759847001.964923,35.00,684.29,8.046,1823.908661
1759847002.9649131,10.00,684.29,3.799,1827.707845
1759847003.9648032,32.00,684.29,7.541,1835.248231
1759847004.9649,47.00,684.29,8.929,1844.178079
1759847005.96488,68.00,684.29,11.861,1856.039255
1759847006.9648786,11.00,684.29,3.954,1859.993163
1759847007.9648015,59.00,684.29,10.855,1870.847505
1759847008.9649193,11.00,684.29,4.090,1874.938437
1759847009.964806,42.00,684.29,9.603,1884.540219
1759847010.9649336,13.00,684.29,4.736,1889.276535
1759847011.9649205,52.00,684.29,9.481,1898.757163
1759847012.9648843,46.00,684.29,7.793,1906.549807
1759847013.9648945,72.00,684.29,12.078,1918.628145
1759847014.9647996,52.00,684.29,10.613,1929.239873
1759847015.9647949,58.00,684.29,13.104,1942.343355
1759847016.964799,30.00,684.29,8.818,1951.161509
1759847017.9648643,40.00,684.29,8.607,1959.769458
1759847018.964918,37.00,684.29,7.156,1966.925812
1759847019.964928,57.00,684.29,11.846,1978.772095
1759847020.9649258,29.00,684.29,6.406,1985.177962
1759847021.964919,74.00,684.29,12.626,1997.803540
1759847022.9648829,20.00,684.29,5.905,2003.708799
1759847023.9649134,34.00,684.29,7.951,2011.660316
1759847024.9649127,30.00,684.29,7.140,2018.800374
1759847025.964895,69.00,684.29,11.836,2030.636586
1759847026.9648004,12.00,684.29,4.568,2035.204201
1759847027.964873,69.00,684.29,12.054,2047.258797
1759847028.9646897,22.00,684.29,5.390,2052.647821
1759847029.9649177,74.00,684.41,12.927,2065.578025
1759847030.9648986,18.00,684.41,5.465,2071.042916
1759847031.9648924,58.00,684.41,10.439,2081.482342
1759847032.9646947,40.00,684.41,7.426,2088.906517
1759847033.964931,49.00,684.41,9.872,2098.780821
1759847034.9649374,3.00,684.41,3.137,2101.917776
1759847035.964913,69.00,684.41,11.970,2113.887838
1759847036.9649365,51.00,684.41,9.036,2122.923886
1759847037.9648595,66.00,684.41,11.303,2134.225615
1759847038.9648995,29.00,684.41,6.295,2140.520460
1759847039.9649246,40.00,684.41,9.175,2149.695913
1759847040.9649365,12.00,684.41,4.365,2154.061014
1759847041.9649374,40.00,684.41,8.959,2163.019670
1759847042.9649184,27.00,684.41,8.238,2171.257747
1759847043.964896,50.00,684.41,9.861,2181.118806
1759847044.9649138,11.00,684.41,4.875,2185.993793
1759847045.9648976,49.00,684.41,9.976,2195.969964
1759847046.9647436,28.00,684.41,7.316,2203.285314
1759847047.9648786,63.00,684.41,11.272,2214.559333
1759847048.9648573,23.00,684.41,5.486,2220.045342
1759847049.9648187,87.00,684.41,13.664,2233.709247
1759847050.9649374,12.00,684.41,4.434,2238.144234
1759847051.9649303,46.00,684.41,9.075,2247.218917
1759847052.9648757,12.00,684.41,6.442,2253.660795
1759847053.9647927,36.00,684.41,7.985,2261.645516
1759847054.964936,18.00,684.41,5.761,2267.407220
1759847055.9647925,71.00,684.41,12.298,2279.703942
1759847056.9649308,45.00,684.41,8.147,2287.852480
1759847057.9647975,70.00,684.41,11.552,2299.402683
1759847058.9648957,204.00,686.91,19.796,2319.200972
1759847059.9646523,26.00,695.66,5.677,2324.876861
1759847060.9649556,157.00,616.70,14.186,2339.067559
1759847061.9649324,192.00,1092.07,17.187,2356.253978
1759847062.9649205,192.00,1098.20,17.022,2373.275601
1759847063.9647915,100.00,1098.32,13.815,2387.088432
1759847064.9649155,0.00,1098.32,2.353,2389.442064
1759847065.964913,203.00,1098.32,16.690,2406.132512
1759847066.964892,130.00,1098.32,15.845,2421.977137
1759847067.9647007,104.00,1098.32,12.779,2434.754082
1759847068.9646544,63.00,1098.32,7.458,2442.211948
1759847069.964687,72.00,1098.32,9.080,2451.291820
1759847070.9649298,209.90,1221.07,16.951,2468.246672
1759847071.9647768,334.10,1221.07,22.690,2490.933687
1759847072.9647005,166.00,1221.07,15.668,2506.600394
1759847073.9647105,0.00,1221.07,1.701,2508.301745
1759847074.9648771,195.00,1221.07,17.272,2525.576298
1759847075.96483,90.00,1221.45,12.700,2538.275728
1759847076.9649296,169.00,1337.45,16.804,2555.081410
1759847077.9646802,102.00,1337.57,10.068,2565.146753
1759847078.9648008,56.00,1337.57,6.849,2571.997078
1759847079.964923,94.00,1337.57,11.906,2583.904701
1759847080.9649174,148.00,1337.57,14.643,2598.547242
1759847081.9647975,185.00,1337.57,16.499,2615.043842
1759847082.964701,0.00,1337.57,2.168,2617.212111
1759847083.9648616,110.00,1337.57,12.330,2629.544416
1759847084.9648836,160.00,1338.45,15.762,2645.306521
1759847085.9648638,187.00,1338.45,16.494,2661.799887
1759847086.96465,147.00,1338.45,12.655,2674.452382
1759847087.9646952,30.00,1338.45,5.070,2679.522620
1759847088.9648008,155.00,1338.45,14.360,2693.883728
1759847089.9647524,170.00,1337.77,17.852,2711.735062
1759847090.9648015,205.00,1337.77,17.095,2728.831393
