ts,rps,avg_ms,p50_ms,p95_ms,ok,err
1759847260,0,,,,0,0
1759847261,24,46.960,16.493,119.854,24,0
1759847262,0,,,,0,0
1759847263,24,33.904,13.491,83.121,24,0
1759847264,0,,,,0,0
1759847265,24,26.282,13.116,97.732,24,0
1759847266,0,,,,0,0
1759847267,24,32.842,12.337,84.195,24,0
1759847268,0,,,,0,0
1759847269,24,45.888,15.677,112.992,24,0
1759847270,0,,,,0,0
1759847271,24,24.900,11.989,80.688,24,0
1759847272,0,,,,0,0
1759847273,24,42.980,13.293,100.097,24,0
1759847274,0,,,,0,0
1759847275,24,29.273,13.207,86.042,24,0
1759847276,0,,,,0,0
1759847277,24,47.017,14.156,106.993,24,0
1759847278,0,,,,0,0
1759847279,24,32.888,12.754,110.721,24,0
1759847280,0,,,,0,0
1759847281,24,41.342,13.950,88.475,24,0
1759847282,0,,,,0,0
1759847283,24,34.663,14.194,84.493,24,0
1759847284,0,,,,0,0
1759847285,24,41.815,13.472,111.012,24,0
1759847286,0,,,,0,0
1759847287,24,27.439,11.112,84.678,24,0
1759847288,0,,,,0,0
1759847289,0,,,,0,0
1759847290,0,,,,0,0
1759847291,48,31.970,12.663,102.107,48,0
1759847292,0,,,,0,0
1759847293,24,44.883,53.421,86.116,24,0
1759847294,0,,,,0,0
1759847295,24,53.438,84.559,116.741,24,0
1759847296,0,,,,0,0
1759847297,24,35.015,12.996,85.667,24,0
1759847298,0,,,,0,0
1759847299,24,46.356,16.105,110.243,24,0
1759847300,0,,,,0,0
1759847301,24,32.871,12.367,83.741,24,0
1759847302,0,,,,0,0
1759847303,24,26.527,11.562,81.277,24,0
1759847304,0,,,,0,0
1759847305,24,40.806,14.621,88.030,24,0
1759847306,0,,,,0,0
1759847307,24,29.358,12.638,93.263,24,0
1759847308,0,,,,0,0
1759847309,24,40.223,9.622,115.170,24,0
1759847310,0,,,,0,0
1759847311,24,43.929,17.571,86.773,24,0
1759847312,0,,,,0,0
1759847313,24,24.872,11.505,86.020,24,0
1759847314,0,,,,0,0
1759847315,24,32.801,13.533,89.431,24,0
1759847316,0,,,,0,0
1759847317,24,41.989,15.595,103.690,24,0
1759847318,0,,,,0,0
1759847319,24,23.633,9.948,80.559,24,0
1759847320,0,,,,0,0
1759847321,24,29.335,10.514,82.122,24,0
1759847322,0,,,,0,0
1759847323,0,,,,0,0
1759847324,0,,,,0,0
1759847325,48,40.049,12.760,112.683,48,0
1759847326,0,,,,0,0
1759847327,0,,,,0,0
1759847328,0,,,,0,0
1759847329,48,38.879,13.933,88.346,48,0
1759847330,0,,,,0,0
1759847331,0,,,,0,0
1759847332,0,,,,0,0
1759847333,0,,,,0,0
1759847334,0,,,,0,0
1759847335,0,,,,0,0
1759847336,0,,,,0,0
1759847337,96,37.134,13.930,114.776,96,0
1759847338,0,,,,0,0
1759847339,0,,,,0,0
1759847340,0,,,,0,0
1759847341,0,,,,0,0
1759847342,0,,,,0,0
1759847343,0,,,,0,0
1759847344,0,,,,0,0
1759847345,96,34.796,12.546,99.234,96,0
1759847346,0,,,,0,0
1759847347,0,,,,0,0
1759847348,0,,,,0,0
1759847349,0,,,,0,0
1759847350,0,,,,0,0
1759847351,0,,,,0,0
1759847352,0,,,,0,0
1759847353,0,,,,0,0
1759847354,0,,,,0,0
1759847355,0,,,,0,0
1759847356,0,,,,0,0
1759847357,0,,,,0,0
1759847358,0,,,,0,0
1759847359,0,,,,0,0
1759847360,0,,,,0,0
1759847361,0,,,,0,0
1759847362,0,,,,0,0
1759847363,0,,,,0,0
1759847364,0,,,,0,0
1759847365,0,,,,0,0
1759847366,0,,,,0,0
1759847367,0,,,,0,0
1759847368,0,,,,0,0
1759847369,0,,,,0,0
1759847370,0,,,,0,0
1759847371,0,,,,0,0
1759847372,0,,,,0,0
1759847373,0,,,,0,0
1759847374,0,,,,0,0
1759847375,0,,,,0,0
1759847376,0,,,,0,0
1759847377,0,,,,0,0
1759847378,0,,,,0,0
1759847379,0,,,,0,0
1759847380,422,35.678,13.315,102.157,422,0
1759847381,0,,,,0,0
1759847382,0,,,,0,0
1759847383,0,,,,0,0
1759847384,0,,,,0,0
1759847385,0,,,,0,0
1759847386,0,,,,0,0
1759847387,0,,,,0,0
1759847388,0,,,,0,0
1759847389,0,,,,0,0
1759847390,0,,,,0,0
1759847391,0,,,,0,0
1759847392,0,,,,0,0
1759847393,0,,,,0,0
1759847394,169,32.901,13.477,89.582,169,0
1759847395,0,,,,0,0
1759847396,21,42.190,14.486,88.234,21,0
1759847397,0,,,,0,0
1759847398,27,30.712,12.159,97.507,27,0
1759847399,0,,,,0,0
1759847400,21,27.296,12.131,79.829,21,0
1759847401,0,,,,0,0
1759847402,23,48.952,79.819,90.846,23,0
1759847403,0,,,,0,0
1759847404,25,35.925,13.234,118.953,25,0
1759847405,0,,,,0,0
1759847406,25,39.159,11.882,101.198,25,0
1759847407,0,,,,0,0
1759847408,26,28.395,11.289,82.934,26,0
1759847409,0,,,,0,0
1759847410,24,38.042,15.745,84.607,24,0
1759847411,0,,,,0,0
1759847412,23,24.415,10.209,117.411,23,0
1759847413,0,,,,0,0
1759847414,22,32.944,12.252,85.976,22,0
1759847415,0,,,,0,0
1759847416,23,38.180,13.273,83.680,23,0
1759847417,0,,,,0,0
1759847418,27,47.786,10.907,121.951,27,0
1759847419,0,,,,0,0
1759847420,32,103.394,85.751,187.810,32,0
1759847421,0,,,,0,0
1759847422,0,,,,0,0
1759847423,0,,,,0,0
1759847424,117,72.234,49.297,202.488,117,0
1759847425,0,,,,0,0
1759847426,0,,,,0,0
1759847427,0,,,,0,0
1759847428,0,,,,0,0
1759847429,107,74.752,48.145,177.818,107,0
1759847430,0,,,,0,0
1759847431,0,,,,0,0
1759847432,0,,,,0,0
1759847433,123,51.367,22.632,156.994,123,0
1759847434,0,,,,0,0
1759847435,0,,,,0,0
1759847436,0,,,,0,0
1759847437,0,,,,0,0
1759847438,108,72.295,23.320,178.269,108,0
1759847439,0,,,,0,0
1759847440,0,,,,0,0
1759847441,0,,,,0,0
1759847442,120,63.422,15.556,168.253,120,0
1759847443,0,,,,0,0
1759847444,0,,,,0,0
1759847445,0,,,,0,0
1759847446,0,,,,0,0
1759847447,106,59.010,17.520,175.011,106,0
1759847448,0,,,,0,0
1759847449,0,,,,0,0
1759847450,0,,,,0,0
1759847451,0,,,,0,0
1759847452,119,66.763,25.954,168.974,119,0
1759847453,0,,,,0,0
1759847454,0,,,,0,0
1759847455,0,,,,0,0
1759847456,119,47.218,14.637,161.818,119,0
1759847457,0,,,,0,0
1759847458,0,,,,0,0
1759847459,0,,,,0,0
1759847460,0,,,,0,0
1759847461,105,56.163,17.456,151.972,105,0
1759847462,0,,,,0,0
1759847463,0,,,,0,0
1759847464,0,,,,0,0
1759847465,119,45.190,14.636,154.960,119,0
1759847466,0,,,,0,0
1759847467,0,,,,0,0
1759847468,0,,,,0,0
1759847469,0,,,,0,0
1759847470,105,70.947,25.032,179.111,105,0
1759847471,0,,,,0,0
1759847472,0,,,,0,0
1759847473,0,,,,0,0
1759847474,122,44.598,12.657,158.930,122,0
1759847475,0,,,,0,0
1759847476,0,,,,0,0
1759847477,0,,,,0,0
1759847478,0,,,,0,0
1759847479,110,49.978,14.938,154.066,110,0
1759847480,0,,,,0,0
1759847481,0,,,,0,0
1759847482,0,,,,0,0
1759847483,0,,,,0,0
1759847484,120,73.914,24.268,171.711,120,0
1759847485,0,,,,0,0
1759847486,0,,,,0,0
1759847487,0,,,,0,0
1759847488,114,56.545,15.667,164.053,114,0
1759847489,0,,,,0,0
1759847490,0,,,,0,0
1759847491,0,,,,0,0
1759847492,0,,,,0,0
1759847493,110,72.954,37.365,168.494,110,0
1759847494,0,,,,0,0
1759847495,0,,,,0,0
1759847496,0,,,,0,0
1759847497,119,34.211,13.461,131.431,119,0
1759847498,0,,,,0,0
1759847499,0,,,,0,0
1759847500,0,,,,0,0
1759847501,0,,,,0,0
1759847502,105,62.826,16.001,166.521,105,0
1759847503,0,,,,0,0
1759847504,0,,,,0,0
1759847505,0,,,,0,0
1759847506,118,51.516,14.402,167.570,118,0
1759847507,0,,,,0,0
1759847508,0,,,,0,0
1759847509,0,,,,0,0
1759847510,0,,,,0,0
1759847511,106,55.291,17.816,157.753,106,0
1759847512,0,,,,0,0
1759847513,0,,,,0,0
1759847514,0,,,,0,0
1759847515,115,45.411,15.425,153.064,115,0
1759847516,0,,,,0,0
1759847517,0,,,,0,0
1759847518,0,,,,0,0
1759847519,0,,,,0,0
1759847520,116,68.673,32.497,177.071,116,0
1759847521,0,,,,0,0
1759847522,0,,,,0,0
1759847523,0,,,,0,0
1759847524,119,49.230,13.135,160.548,119,0
1759847525,0,,,,0,0
1759847526,0,,,,0,0
1759847527,0,,,,0,0
1759847528,0,,,,0,0
1759847529,115,54.851,14.318,175.948,115,0
1759847530,0,,,,0,0
1759847531,0,,,,0,0
1759847532,0,,,,0,0
1759847533,0,,,,0,0
1759847534,111,72.373,22.676,174.906,111,0
1759847535,0,,,,0,0
1759847536,0,,,,0,0
1759847537,0,,,,0,0
1759847538,116,40.868,12.616,152.862,116,0
