ts,cpu_percent,rss_mb,power_w,energy_j_total
1759843086.3088725,35.00,874.24,9.621,1193.702694
1759843087.3086832,34.00,874.24,11.432,1205.132352
1759843088.3089242,30.00,874.36,10.517,1215.652283
1759843089.3086867,28.00,874.36,12.037,1227.686493
1759843090.3089266,24.00,874.36,9.308,1236.997199
1759843091.3086858,31.00,874.36,12.026,1249.020179
1759843092.3088925,21.00,874.36,9.349,1258.370619
1759843093.3086839,18.00,874.36,9.257,1267.625234
1759843094.3087056,20.00,874.36,8.544,1276.169157
1759843095.3086855,36.00,874.36,10.909,1287.077943
1759843096.308808,36.00,874.49,9.988,1297.066870
1759843097.3086817,23.00,874.49,9.948,1307.013439
1759843098.3087006,27.00,874.49,9.480,1316.494066
1759843099.3086567,32.00,874.49,10.469,1326.962118
1759843100.3086593,11.00,874.49,7.317,1334.279238
1759843101.3086624,31.00,874.49,9.517,1343.796181
1759843102.3087387,34.00,874.49,10.460,1354.257336
1759843103.3086603,27.00,874.61,9.870,1364.126146
1759843104.3086588,27.00,874.61,9.263,1373.389612
1759843105.3087342,31.00,874.61,11.747,1385.137872
1759843106.3087366,47.00,874.61,10.553,1395.690702
1759843107.30866,14.00,874.61,8.909,1404.599493
1759843108.308927,28.00,874.61,9.494,1414.096294
1759843109.3086858,25.00,874.61,9.511,1423.604815
1759843110.3089309,29.00,874.61,9.116,1432.722895
1759843111.308658,33.00,874.61,10.217,1442.936797
1759843112.3088102,29.00,874.61,10.751,1453.689089
1759843113.3086607,22.00,874.61,9.507,1463.194435
1759843114.3089142,28.00,874.61,10.654,1473.851329
1759843115.3086874,20.00,874.61,9.065,1482.914539
1759843116.3086743,51.00,874.61,13.757,1496.671034
1759843117.308655,33.00,874.61,12.470,1509.141034
1759843118.30881,26.00,874.61,9.656,1518.798724
1759843119.3086576,15.00,874.61,8.333,1527.130185
1759843120.3086565,55.00,874.74,12.858,1539.988489
1759843121.3086736,26.00,874.86,10.503,1550.491880
1759843122.3088932,26.00,874.86,9.972,1560.465793
1759843123.3087268,21.00,874.86,8.951,1569.414928
1759843124.3086934,28.00,874.86,9.710,1579.124864
1759843125.3086898,18.00,874.86,8.162,1587.286586
1759843126.3087041,53.00,874.86,12.256,1599.542780
1759843127.3088777,12.00,874.86,8.256,1607.800449
1759843128.30869,29.00,874.99,10.324,1618.122383
1759843129.308885,12.00,874.99,8.150,1626.273608
1759843130.3089373,34.00,874.99,10.289,1636.562888
1759843131.3089108,12.00,874.99,7.582,1644.145144
1759843132.3089142,30.00,874.99,10.696,1654.841162
1759843133.3089168,28.00,874.99,9.642,1664.483166
1759843134.3089185,21.00,874.99,9.579,1674.062060
1759843135.3088098,20.00,874.99,8.573,1682.634486
1759843136.308708,35.00,874.99,12.113,1694.745845
1759843137.308711,23.00,874.99,9.492,1704.237580
1759843138.3087103,42.00,874.99,11.280,1715.517154
1759843139.3088093,16.00,874.99,8.194,1723.711957
1759843140.308653,27.00,874.99,9.387,1733.097980
1759843141.3086545,21.00,874.99,8.749,1741.847409
1759843142.3086848,42.00,878.49,12.152,1753.999721
1759843143.3087354,35.00,872.32,9.991,1763.991334
1759843144.3087375,52.00,872.32,12.090,1776.081330
1759843145.308689,25.00,872.32,9.010,1785.090523
1759843146.308729,27.00,872.45,9.948,1795.039106
1759843147.3088088,35.00,878.45,12.022,1807.062452
1759843148.3086889,21.00,872.57,9.546,1816.607593
1759843149.3089175,41.00,872.57,10.074,1826.683678
1759843150.3089201,21.00,872.57,9.139,1835.823181
1759843151.3088686,21.00,872.57,8.446,1844.268960
1759843152.3088949,55.00,872.57,14.102,1858.371585
1759843153.3089385,27.00,872.57,9.467,1867.838602
1759843154.3089173,45.00,872.57,11.963,1879.800974
1759843155.3088086,13.00,872.57,7.993,1887.793019
1759843156.3088074,38.00,872.57,10.502,1898.294945
1759843157.3088982,4.00,872.57,6.769,1905.064398
1759843158.3087013,54.00,872.57,12.057,1917.119238
1759843159.3087137,40.00,872.57,10.343,1927.462351
1759843160.3088028,36.00,872.57,10.557,1938.020551
1759843161.308809,8.00,872.57,7.257,1945.277247
1759843162.3086894,27.00,872.57,10.134,1955.410033
1759843163.308704,19.00,872.57,8.505,1963.914711
1759843164.3087316,58.00,872.70,12.765,1976.679876
1759843165.3086982,16.00,872.70,8.206,1984.885239
1759843166.3086917,36.00,872.70,10.237,1995.122151
1759843167.3088765,25.00,872.70,11.395,2006.518850
1759843168.3088374,28.00,872.70,9.950,2016.468532
1759843169.3089378,9.00,872.70,7.381,2023.850654
1759843170.308891,30.00,872.70,9.995,2033.844769
1759843171.3087022,41.00,872.70,10.336,2044.178910
1759843172.308939,16.00,872.70,9.315,2053.495964
1759843173.3089137,20.00,872.70,8.547,2062.042329
1759843174.3089292,47.00,872.70,11.218,2073.260867
1759843175.3087468,19.00,872.70,8.329,2081.588543
1759843176.3087575,41.00,872.82,10.597,2092.186050
1759843177.30869,13.00,872.82,8.708,2100.893059
1759843178.3088078,71.00,872.82,13.083,2113.977681
1759843179.30871,20.00,872.82,8.233,2122.210204
1759843180.308664,44.00,872.82,11.137,2133.347078
1759843181.3087335,24.00,872.82,8.476,2141.823924
1759843182.3086877,54.00,872.82,13.293,2155.116126
1759843183.3087049,9.00,872.82,7.479,2162.595294
1759843184.308658,40.00,872.82,10.513,2173.107474
1759843185.3086877,10.00,872.82,7.483,2180.590792
1759843186.3087306,37.00,872.82,10.183,2190.773811
1759843187.308683,11.00,872.82,8.051,2198.824571
1759843188.3086545,29.00,872.82,10.146,2208.970480
1759843189.3088539,22.00,872.82,8.741,2217.713500
1759843190.3088949,45.00,872.82,11.125,2228.839021
1759843191.3089385,26.00,872.95,9.054,2237.893502
1759843192.308939,21.00,872.95,9.436,2247.329818
1759843193.3086987,10.00,872.95,7.497,2254.824977
1759843194.308922,43.00,872.95,10.863,2265.690367
1759843195.3088677,25.00,872.95,8.996,2274.686010
1759843196.3088644,74.00,873.07,13.729,2288.415040
1759843197.3087056,24.00,873.07,11.215,2299.628634
1759843198.3087325,49.00,873.07,11.748,2311.376590
1759843199.3088095,18.00,873.20,8.664,2320.040814
1759843200.3087058,41.00,873.20,10.534,2330.573685
1759843201.3087304,45.00,873.20,10.802,2341.375781
1759843202.3086998,43.00,873.20,11.682,2353.057087
1759843203.3088074,13.00,873.20,7.585,2360.642699
1759843204.3086576,40.00,873.32,10.487,2371.128512
1759843205.308688,17.00,873.32,8.057,2379.185560
1759843206.308689,51.00,873.32,11.500,2390.686018
1759843207.3088078,15.00,873.32,8.799,2399.485923
1759843208.308807,24.00,873.32,9.254,2408.739988
1759843209.3086894,11.00,873.32,7.879,2416.617593
1759843210.3088577,56.00,873.32,12.547,2429.166816
1759843211.3089387,21.00,873.32,9.182,2438.349715
